Business Name,Industry,Location,Website,Phone,Contact Name,Contact Email,Contact Title,Enrichment Source,SEO Tech Score,SEO Content Score,Est. Lost Revenue,Master Search Block,Harvested At
Phoenix Collision Center,Auto Body,"17010 N 26th St, Phoenix, AZ 85032, USA",http://www.phoenixcollision.center/,(602) 339-2921,Phoenix Collision Center Representative,20info@phoenixcollision.center,,The Probe (Regex),25,30,"$122,500 per month ($1.47M annually)",auto,2026-02-16T02:43:44.000Z
Emergency Roadside Truck and Trailer Repair,Auto Body,"3241 W Yuma St, Phoenix, AZ 85009, USA",https://www.emergencyroadsidetruck.com/?utm_campaign=gmb,(480) 932-4860,Servicewriter,Servicewriter24@gmail.com,,Gemini Ultra Extract (80%),15,10,"$144,000 annually",auto,2026-02-16T02:46:11.000Z
A1 Collision and Auto Repair,Auto Body,"4041 W Milky Way Ste 2, Chandler, AZ 85226, USA",https://a1collisioncenter.com/,(480) 876-3772,A1 Collision and Auto Repair Representative,a1@a1collisioncenter.com,,The Probe (Regex),15,5,"$144,000 annually",auto,2026-02-16T02:43:44.000Z
Acclaim Car & Truck Repair,Auto Body,"7145 E Earll Dr, Scottsdale, AZ 85251, USA",https://www.acclaimcarandtruckrepair.com/,(480) 429-1765,Acclaim Car & Truck Repair Representative,acclaimcarandtruck@gmail.com,,The Probe (Regex),15,10,"$129,900 annually",auto,2026-02-16T02:40:09.000Z
Drake Equipment of Arizona,Auto Body,"2235 S 19th Ave, Phoenix, AZ 85009, USA",http://www.drakeequipment.com/,(602) 278-2552,Drake Equipment of Arizona Representative,accounting@drakeequipment.com,,The Probe (Regex),15,10,"$21,000 / year",auto,2026-02-16T02:46:11.000Z
Two Brothers Restoration & Auto Repair,Auto Body,"21616 N Central Ave Suite #4, Phoenix, AZ 85024, USA",https://www.2brosautorepair.com/,(480) 360-3583,Two Brothers Restoration & Auto Repair Representative,admin@2brosautorepair.com,,The Probe (Regex),5,0,"$24,000 / year",auto,2026-02-16T02:40:09.000Z
Altra Collision Center,Auto Body,"16628 N 32nd St, Phoenix, AZ 85032, USA",https://altracollision.com/,(602) 424-8137,Altra Collision Center Representative,admin@altracollision.com,,The Probe (Regex),15,10,"$21,000 per month / $252,000 per year",auto,2026-02-16T02:43:44.000Z
Prime Collision and Window Tinting,Auto Body,"801 S Arizona Ave, Chandler, AZ 85225, USA",http://www.primecollisionaz.com/,(480) 732-7900,Prime Collision and Window Tinting Representative,admin@primecollisionaz.com,,The Probe (Regex),25,15,"$14,400 per month. This is based on missing a conservative 12 high-value jobs per month (Average Order Value: $1,200) from easily capturable local search traffic.",auto,2026-02-16T02:43:44.000Z
Scottsdale Restorations,Auto Body,"8221 E Gelding Dr, Scottsdale, AZ 85260, USA",https://scottsdalerestorations.com/,(602) 921-5080,Scottsdale Restorations Representative,admin@scottsdalerestorations.com,,The Probe (Regex),25,15,"$72,000 annually",auto,2026-02-16T02:40:09.000Z
Big 10 garage,Auto Body,"1509 W Harvard Ave, Gilbert, AZ 85233, USA",https://big10garage.com/,(480) 797-2518,Big 10 garage Representative,amkryukov@gmail.com,,The Probe (Regex),15,10,"$108,000 annually. (Based on conservatively missing 20 customers/month with an Average Repair Order of $450).",auto,2026-02-16T02:40:09.000Z
Top Fleet Equipment Services,Auto Body,"2810 E Jones Ave, Phoenix, AZ 85040, USA",http://www.topfleetequipment.com/,(480) 678-2567,Top Fleet Equipment Services Representative,amy@topfleetequipment.com,,The Probe (Regex),5,0,"$180,000+ per year",auto,2026-02-16T02:46:11.000Z
Tempe Speed & Performance,Auto Body,"402 S Perry Ln #1, Tempe, AZ 85288, USA",http://www.tempespeedandperformance.com/,(480) 921-4170,Angie,angie@tempespeedandperformance.com,,Gemini Ultra Extract (65%),15,10,"$37,800 / year",auto,2026-02-16T02:40:09.000Z
Discount Auto Body,Auto Body,"1217 W Hatcher Rd, Phoenix, AZ 85021, USA",http://discountautobodyaz.com/,(602) 796-5876,Discount Auto Body Representative,astigma@astigmatic.com,,The Probe (Regex),15,20,"$55,000 / month",auto,2026-02-16T02:40:09.000Z
Arizona Auto Parts,Auto Body,"2021 W Buckeye Rd, Phoenix, AZ 85009, USA",http://www.arizonaautoparts.com/,(602) 253-5111,Arizona Auto Parts Representative,bootstrap-table@1.21.4,,The Probe (Regex),15,10,"$117,000 annually. Calculated from: (1) 50 customers/mo lost due to no online inventory at $75 AOV = $45,000/yr. (2) 15 high-value specialty customers/mo lost due to poor SEO at $300 AOV = $54,000/yr. (3) 20 customers/mo lost due to lack of trust at $75 AOV = $18,000/yr.",auto,2026-02-16T02:40:09.000Z
"Fleet Systems, Inc.",Auto Body,"2224 E Washington St, Phoenix, AZ 85034, USA",http://www.fleetsystemsinc.com/,(602) 908-9006,"Fleet Systems, Inc. Representative",bootstrap@3.4.1,,The Probe (Regex),15,20,"$22,000 / month",auto,2026-02-16T02:46:11.000Z
Mesa Auto & Fleet,Auto Body,"416 E Baseline Rd, Mesa, AZ 85204, USA",https://brand.contact/mesaautofleet,(480) 656-2586,Mesa Auto & Fleet Representative,brauliopena@younitedglobalincorporated.com,,The Probe (Regex),5,0,"$72,000 annually",auto,2026-02-16T02:46:11.000Z
MFS Heavy Diesel Repair Shop,Auto Body,"20221 E Mesquite St Ste B, Mesa, AZ 85212, USA",http://www.mikesfleetservice.net/,(602) 327-4407,MFS Heavy Diesel Repair Shop Representative,brielle@mikesfleetservice.net,,The Probe (Regex),10,5,"$180,000 / year",auto,2026-02-16T02:46:11.000Z
Carpro Auto Body,Auto Body,"625 S Smith Rd, Tempe, AZ 85288, USA",https://www.carproautobodyaz.com/,(480) 921-1030,Carpro Auto Body Representative,carpro5@yahoo.com,,The Probe (Regex),35,20,"$90,000+ per year (5-6 missed high-value jobs per month @ ~$1,500 AOV)",auto,2026-02-16T02:40:09.000Z
Greulich's Automotive Repair,Auto Body,"1985 S Alma School Rd, Chandler, AZ 85286, USA",https://www.greulichs.com/locations/az/chandler/auto-repair-1985-s-alma-school-rd?utm_source=local_listing&utm_medium=organic&utm_campaign=store_1256,(480) 761-2128,Greulich's Automotive Repair Representative,customercare@sun.auto,,The Probe (Regex),55,65,"$330,000 annually",auto,2026-02-16T02:40:09.000Z
